[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | SQL: SELECT COUNT(*) AS tp_count FROM `dds_team` LIMIT 1   [ RunTime:0.000917s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002352s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000852s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run LocationTemplate Behavior [ RunTime:0.002669s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_template ] --END-- [ RunTime:0.002748s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run ParseTemplate Behavior [ RunTime:0.016594s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016707s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run ContentReplace Behavior [ RunTime:0.000518s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run TokenBuild Behavior [ RunTime:0.000476s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000683s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run ShowRuntime Behavior [ RunTime:0.000538s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002445s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run ShowPageTrace Behavior [ RunTime:0.001040s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ view_end ] --END-- [ RunTime:0.001125s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run CheckRoute Behavior [ RunTime:0.001823s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001999s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001388s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run CheckLang Behavior [ RunTime:0.002683s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004262s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.003443s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | SQL: SELECT COUNT(*) AS tp_count FROM `dds_team` LIMIT 1   [ RunTime:0.000484s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002466s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000789s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002630s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002721s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018735s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018847s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run ContentReplace Behavior [ RunTime:0.001106s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run TokenBuild Behavior [ RunTime:0.001065s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000934s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001134s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004467s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001050s ]
[ 2012-12-05T18:44:23+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001114s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckRoute Behavior [ RunTime:0.001012s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --END-- [ RunTime:0.001153s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000644s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckLang Behavior [ RunTime:0.002753s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003572s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run LocationTemplate Behavior [ RunTime:0.002410s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --END-- [ RunTime:0.002538s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run ParseTemplate Behavior [ RunTime:0.016713s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016834s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run ContentReplace Behavior [ RunTime:0.000544s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run TokenBuild Behavior [ RunTime:0.000585s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000899s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run ShowRuntime Behavior [ RunTime:0.000598s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002936s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Run ShowPageTrace Behavior [ RunTime:0.000988s ]
[ 2012-12-05T18:44:25+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_end ] --END-- [ RunTime:0.001074s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run CheckRoute Behavior [ RunTime:0.002169s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002332s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001494s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run CheckLang Behavior [ RunTime:0.002833s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004531s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002362s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | SQL: SELECT COUNT(*) AS tp_count FROM `dds_team` LIMIT 1   [ RunTime:0.000771s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.006661s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000189s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002744s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002825s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018692s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018793s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run ContentReplace Behavior [ RunTime:0.000995s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run TokenBuild Behavior [ RunTime:0.000981s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000857s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002134s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005189s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001335s ]
[ 2012-12-05T18:47:55+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001436s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --END-- [ RunTime:0.001125s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000707s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckLang Behavior [ RunTime:0.002933s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003870s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run LocationTemplate Behavior [ RunTime:0.002338s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --END-- [ RunTime:0.002458s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run ParseTemplate Behavior [ RunTime:0.012538s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012657s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run ContentReplace Behavior [ RunTime:0.001026s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run TokenBuild Behavior [ RunTime:0.001104s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001093s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run ShowRuntime Behavior [ RunTime:0.000666s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004433s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Run ShowPageTrace Behavior [ RunTime:0.001540s ]
[ 2012-12-05T18:47:56+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_end ] --END-- [ RunTime:0.001695s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run CheckRoute Behavior [ RunTime:0.000891s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001008s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000745s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run CheckLang Behavior [ RunTime:0.003009s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004003s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002521s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SELECT COUNT(*) AS tp_count FROM `dds_team` LIMIT 1   [ RunTime:0.000794s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002514s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000696s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002589s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002666s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016672s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016771s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ContentReplace Behavior [ RunTime:0.000390s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run TokenBuild Behavior [ RunTime:0.000517s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000677s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000503s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002450s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000786s ]
[ 2012-12-05T18:48:47+08:00 ] /index.php/admin/Team/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000851s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckRoute Behavior [ RunTime:0.001114s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --END-- [ RunTime:0.001286s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001037s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckLang Behavior [ RunTime:0.003673s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005055s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run LocationTemplate Behavior [ RunTime:0.002091s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --END-- [ RunTime:0.002208s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Run ParseTemplate Behavior [ RunTime:0.012462s ]
[ 2012-12-05T18:48:48+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012582s ]
